type,title,release_year,rating,listed_in,streaming_platform,duration_minutes,date_added,Genre
Movie,Take Care Good Night,2018,PG-13,"Drama, International",Amazon Prime,110.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Zoombies,2016,PG-13,"Horror, Science Fiction",Amazon Prime,87.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Zoe,2018,R,Science Fiction,Amazon Prime,104.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Zis Boom Bah,1941,NR,"Arts, Entertainment, and Culture, Comedy, Drama",Amazon Prime,62.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Zandalee,1991,R,Drama,Amazon Prime,94.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Zambezi: Force of Life,2005,G,Documentary,Amazon Prime,50.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Young Lovers,1949,18+,Drama,Amazon Prime,86.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,You're Not You,2015,R,Drama,Amazon Prime,103.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Yoga for Men's Health,2016,G,"Fitness, Special Interest",Amazon Prime,60.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Yoga For Beginners,2016,G,"Fitness, Special Interest",Amazon Prime,54.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Yellowneck,1955,18+,"Action, Military and War, Western",Amazon Prime,84.0,"November 12, 2019",Action/Adventure
Movie,Yatra (Telugu),2019,G,"Drama, International",Amazon Prime,126.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Yatra (Malayalam),2019,G,"Drama, International",Amazon Prime,125.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Xchange,2001,R,"Fantasy, Science Fiction, Suspense",Amazon Prime,109.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,X-Ray,1983,R,Suspense,Amazon Prime,89.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Wrangler: Anatomy of an Icon,2008,18+,"Documentary, LGBTQ",Amazon Prime,85.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Words On Bathroom Walls,2020,PG-13,Drama,Amazon Prime,111.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Women of Valor,1986,16+,"Action, Drama",Amazon Prime,95.0,"November 12, 2019",Action/Adventure
Movie,Woman Of Desire,1994,R,"Drama, Suspense",Amazon Prime,99.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Woke Up Like This,2017,PG-13,Comedy,Amazon Prime,104.0,"November 12, 2019",Comedy/Romance
Movie,"Wizard of Loneliness, The",1988,PG-13,Drama,Amazon Prime,111.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Within Our Gates,1920,PG-13,Drama,Amazon Prime,78.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Winterset,1936,NR,"Action, Drama",Amazon Prime,77.0,"November 12, 2019",Action/Adventure
Movie,Winds Of The Wasteland,1936,PG-13,Western,Amazon Prime,55.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Wind,1992,PG-13,"Action, Drama, Sports",Amazon Prime,126.0,"November 12, 2019",Action/Adventure
Movie,William the Conqueror,2015,PG-13,"Documentary, Special Interest",Amazon Prime,53.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,William Tecumseh Sherman: Beyond the March to the Sea,2019,PG-13,"Documentary, Special Interest",Amazon Prime,115.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular,2019,16+,"Arts, Entertainment, and Culture, Comedy",Amazon Prime,55.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,William Lee Martin: Standing in the Middle,2019,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",Amazon Prime,58.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,William and Kate: Into the Future,2011,G,"Documentary, International, Special Interest",Amazon Prime,49.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Wildlike,2021,16+,"Action, Drama",Amazon Prime,104.0,"November 12, 2019",Action/Adventure
Movie,Wilder Napalm,1993,PG-13,"Comedy, Science Fiction",Amazon Prime,109.0,"November 12, 2019",Comedy/Romance
Movie,Wild Geese,2012,18+,Action,Amazon Prime,135.0,"November 12, 2019",Action/Adventure
Movie,The Appleseed Cast,2007,NR,Music Videos and Concerts,Amazon Prime,49.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Wild Colombia Revealed,2016,7+,"Documentary, Special Interest",Amazon Prime,91.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Why We Fight,2006,PG-13,Documentary,Amazon Prime,99.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Whoop!,2018,18+,"Arts, Entertainment, and Culture",Amazon Prime,64.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
Movie,Who Wrote the New Testament?,2016,G,"Drama, Special Interest",Amazon Prime,131.0,"November 12, 2019",Drama/Thriller/Horror/Suspense/Sci-Fi/Fantasy
Movie,Who Put The Klan Into Ku Klux Klan,2018,PG-13,Documentary,Amazon Prime,59.0,"November 12, 2019",Other/Documentaries/Docuseries/TV shows/Reality/International/Lifestyle/Sports
